Date,Open,High,Low,Close,Volume,Market Cap
"Nov 18, 2017",0.053269,0.059919,0.051837,0.058795,"103,510","16,696,100"
"Nov 17, 2017",0.052592,0.064935,0.05067,0.053482,"164,573","16,191,100"
"Nov 16, 2017",0.04733,0.059717,0.046433,0.052677,"200,277","14,252,300"
"Nov 15, 2017",0.054253,0.057085,0.044679,0.047085,"106,195","16,012,000"
"Nov 14, 2017",0.057991,0.064615,0.05121,0.053813,"98,631","16,736,800"
"Nov 13, 2017",0.046738,0.073014,0.045757,0.058274,"76,625","13,200,200"
"Nov 12, 2017",0.06102,0.064202,0.045094,0.046778,"113,453","16,872,600"
"Nov 11, 2017",0.084529,0.087853,0.058527,0.062669,"105,366","22,824,600"
"Nov 10, 2017",0.090089,0.095883,0.083532,0.084829,"52,500","23,167,000"
"Nov 09, 2017",0.093913,0.101879,0.08256,0.088115,"116,602","80,458,600"
"Nov 08, 2017",0.052867,0.106085,0.052726,0.101526,"229,957","44,917,300"
"Nov 07, 2017",0.051662,0.05577,0.047538,0.054736,"66,918","43,556,400"
"Nov 06, 2017",0.055546,0.056168,0.039449,0.05181,"80,195","46,443,700"
"Nov 05, 2017",0.058833,0.060439,0.041365,0.055657,"89,124","48,705,000"
"Nov 04, 2017",0.062012,0.0637,0.055549,0.058941,"46,404","50,923,500"
"Nov 03, 2017",0.06596,0.065998,0.05687,0.06316,"42,143","53,730,000"
"Nov 02, 2017",0.076054,0.076618,0.050659,0.065867,"173,285","61,445,900"
"Nov 01, 2017",0.101658,0.101658,0.07412,0.07843,"88,887","81,431,500"
"Oct 31, 2017",0.097798,0.104358,0.085755,0.093505,"98,889","77,662,500"
"Oct 30, 2017",0.107136,0.107136,0.08132,0.097489,"114,376","84,311,300"
"Oct 29, 2017",0.079765,0.128117,0.079765,0.103565,"179,154","62,183,800"
"Oct 28, 2017",0.14986,0.166639,0.080309,0.080348,"98,380","115,803,000"
