Date,Open,High,Low,Close,Volume,Market Cap
"Feb 07, 2017",12.91,13.2,12.53,12.65,"3,523,120","179,398,000"
"Feb 06, 2017",12.83,12.92,12.59,12.88,"2,124,790","178,164,000"
"Feb 05, 2017",12.61,12.99,12.61,12.8,"2,054,440","175,095,000"
"Feb 04, 2017",12.89,13.08,12.47,12.61,"3,475,030","178,965,000"
"Feb 03, 2017",13.13,13.15,12.15,12.86,"5,732,620","182,089,000"
"Feb 02, 2017",13.29,13.42,13.05,13.14,"2,841,870","184,201,000"
"Feb 01, 2017",12.97,13.38,12.93,13.27,"2,715,170","179,699,000"
"Jan 31, 2017",12.7,13.26,12.7,12.99,"8,919,760","175,986,000"
"Jan 30, 2017",12.65,12.91,12.64,12.71,"2,171,460","175,164,000"
"Jan 29, 2017",12.85,13.26,12.55,12.66,"3,027,920","177,874,000"
"Jan 28, 2017",12.12,13.04,12.07,12.85,"6,585,960","167,743,000"
"Jan 27, 2017",11.98,12.24,11.67,12.1,"4,346,850","165,604,000"
"Jan 26, 2017",11.85,12.15,11.73,11.98,"2,172,210","163,778,000"
"Jan 25, 2017",11.81,11.88,11.54,11.83,"1,897,140","163,221,000"
"Jan 24, 2017",12.25,12.25,11.79,11.81,"3,121,430","169,206,000"
"Jan 23, 2017",12.19,12.29,12.05,12.25,"2,414,740","168,236,000"
"Jan 22, 2017",12.01,12.19,11.81,12.18,"2,588,540","165,727,000"
"Jan 21, 2017",11.91,12.18,11.84,12.03,"2,878,010","164,256,000"
"Jan 20, 2017",12.17,12.17,11.75,11.91,"3,768,400","167,736,000"
"Jan 19, 2017",12.05,12.31,11.68,12.15,"3,546,870","166,091,000"
"Jan 18, 2017",12.43,12.7,11.57,12.05,"4,232,060","171,153,000"
"Jan 17, 2017",10.69,12.49,10.56,12.39,"4,403,350","147,101,000"
"Jan 16, 2017",10.77,10.96,10.29,10.64,"3,507,560","148,169,000"
"Jan 15, 2017",11.07,11.15,9.92,10.76,"7,417,420","152,277,000"
"Jan 14, 2017",11.28,11.72,10.96,11.09,"3,439,220","155,007,000"
"Jan 13, 2017",11.84,11.97,11.07,11.27,"6,063,910","162,603,000"
"Jan 12, 2017",11.61,12.19,11.1,11.85,"2,923,060","158,831,000"
"Jan 11, 2017",13.38,13.6,11.18,11.64,"4,338,380","183,143,000"
"Jan 10, 2017",13.7,14.03,13.34,13.39,"3,943,650","187,430,000"
"Jan 09, 2017",13.51,13.74,12.66,13.74,"4,649,000","184,874,000"
"Jan 08, 2017",13.01,13.91,12.86,13.47,"3,741,330","178,079,000"
"Jan 07, 2017",14.09,14.17,12.37,13.06,"9,904,390","192,770,000"
"Jan 06, 2017",16.19,16.93,13.58,14.03,"9,256,850","221,476,000"
"Jan 05, 2017",18.55,19.02,14.86,16.19,"8,528,910","253,879,000"
"Jan 04, 2017",16.14,18.64,15.83,18.53,"10,179,100","220,820,000"
"Jan 03, 2017",16.07,17.03,15,16.09,"16,381,900","219,693,000"
"Jan 02, 2017",14.07,16.47,13.84,16.05,"12,171,300","192,331,000"
"Jan 01, 2017",13.79,14.17,13.42,13.97,"3,923,550","188,431,000"
"Dec 31, 2016",12.96,13.88,12.8,13.78,"4,421,340","177,027,000"
"Dec 30, 2016",13.09,13.28,12.26,12.97,"3,491,280","178,684,000"
"Dec 29, 2016",14.14,14.17,12.46,13.13,"8,200,850","192,960,000"
"Dec 28, 2016",12.54,14.62,12.2,14.09,"13,579,500","171,000,000"
"Dec 27, 2016",10.27,13.05,10.25,12.69,"10,888,000","139,913,000"
"Dec 26, 2016",9.72,10.29,9.7,10.27,"2,243,850","132,352,000"
"Dec 25, 2016",9.65,9.8,9.49,9.73,"2,456,860","131,445,000"
"Dec 24, 2016",9.61,9.77,9.48,9.65,"1,553,340","130,752,000"
"Dec 23, 2016",8.89,9.79,8.89,9.55,"4,014,090","120,963,000"
"Dec 22, 2016",8.3,9.49,8.3,8.9,"4,342,540","112,882,000"
"Dec 21, 2016",8.45,8.62,8.26,8.28,"2,788,170","114,871,000"
"Dec 20, 2016",8.63,8.7,8.39,8.43,"2,093,870","117,248,000"
"Dec 19, 2016",8.6,8.77,8.39,8.63,"1,948,360","116,756,000"
"Dec 18, 2016",8.33,8.83,8.31,8.61,"2,073,320","113,063,000"
"Dec 17, 2016",8.48,8.53,8.25,8.32,"1,046,610","115,014,000"
"Dec 16, 2016",8.43,8.54,8.39,8.51,"960,469","114,291,000"
"Dec 15, 2016",8.43,8.55,8.26,8.42,"1,224,190","114,274,000"
"Dec 14, 2016",8.23,8.59,8.11,8.41,"3,268,750","111,468,000"
"Dec 13, 2016",8.07,8.14,7.97,8.11,"892,392","109,172,000"
"Dec 12, 2016",7.91,8.06,7.83,8.05,"1,037,600","106,974,000"
"Dec 11, 2016",7.77,8.09,7.74,7.91,"1,511,400","105,063,000"
